Sale-Price,Purchase-Date,Purchase-Price,Type,Class,Location,Shape,U-Index,Proximity,N-Rank,P-Chance,Built,Renovate,Access,Crime-Rate,C-Rating,Gov-Index,Contour,Garage,Swimming
10204.5,July-1973,1224.0,flat,residential,Center,rectangle,3,9703,6,0.03369655329793586,1972,0.0,alley,27,4,10,NA,No,
3856.4,June-1985,3134.6,villa,residential,Outskirts,trapezoid,5,65324,4,0.11968288774169056,1975,1986.0,highway,35,3,7,,Yes, No
10558.2,January-1978,1673.0,duplex,commercial,Border,trapezoid,5,26262,6,0.5761341706284212,1970,0.0,street,24,2,7,NA,Yes,NA
11524.2,August-76,3527.8,open land,industrial,Center,rectangle,3,20971,3,0.6287175412124533,1975,,alley,77,2,9,F,NA,
10480.4,March-2000,6862.8,duplex,residential,Border,rectangle,2,34051mts,6,0.08966973482518104,1992,0.0,highway,65,1,4,NA,Yes,
9941.5,October-1996,4366.6,duplex,commercial,Outskirts,rectangle,2,52068mts,7,0.08727354604046322,1984,1994.0,highway,69,2,10,NA,No,NA
3890.3,May-1973,6660.2,villa,residential,Border,rectangle,1,31149,9,0.275595244410055,1957,1965.0,street,27,4,1,NA,Yes,Yes
3526.6,Nov-1997,1365.5,villa,residential,Outskirts,trapezoid,1,55287,4,0.5022834763539855,1991,0.0,highway,69,2,10,NA,Yes, No
18595.9,April-1997,8869.9,flat,residential,Outskirts,trapezoid,1,50164,9,0.45283189146292124,1993,0.0,highway,59,2,8,NA,No,
11447.7,August-2001,5953.7,open land,residential,Outskirts,rectangle,2,70327mts,5,0.2285357148776047,2000,,highway,68,1,6,F,NA,NA
10920.1,Aug-2006,8763.8,flat,residential,Border,irregular,3,40139,4,0.8849825727719625,1988,1998.0,street,87,2,7,NA,Yes,
11363.8,May-1972,10228.4,flat,residential,Border,trapezoid,1,24895mts,6,0.9753034926058926,1972,0.0,street,99,4,4,NA,Yes,NA
11269.9,October-2006,4854.4,open land,industrial,Border,irregular,5,28106,3,0.463400290997655,1998,0.0,street,97,2,1,F,NA,
4234.3,July-84,8594.4,villa,residential,Center,irregular,5,15932,6,0.7545653341370316,1981,0.0,alley,92,1,6,NA,Yes, No
11592.3,Sep-2002,8150.2,duplex,commercial,Center,rectangle,4,9626,7,0.41631339150791924,1984,1992.0,alley,12,5,9,NA,No,
11134.2,Oct-1971,3451.9,open land,commercial,Border,rectangle,4,32642,9,0.7358783250504527,1965,0.0,highway,37,5,1,F,NA,NA
3976.6,November-2009,4637.7,villa,residential,Outskirts,rectangle,4,76497,5,0.82162436585419,1997,2007.0,highway,61,1,5,NA,Yes, No
4737.8,December-1976,11627.5,villa,residential,Center,irregular,4,7547,1,0.05976117937299574,1960,1971.0,street,17,2,5,NA,Yes,Yes
11332.6,March-91,11689.3,duplex,residential,Outskirts,irregular,5,64959mts,1,0.4005529166394236,1975,1986.0,highway,69,5,1,NA,No,NA
4259.6,December-1991,4676.9,villa,residential,Border,trapezoid,5,39102,10,0.28090915125382376,1982,0.0,highway,59,5,3,NA,Yes,Yes
4103.7,May-2003,1080.7,villa,residential,Center,trapezoid,3,25490,8,0.1730851302287152,1984,1993.0,alley,46,2,10,,Yes, No
10444.9,May-1971,9674.9,flat,commercial,Border,rectangle,2,40400,1,0.45738832031285226,1959,1967.0,highway,85,4,9,,Yes,
10472.7,May-2002,2007.9,flat,residential,Border,trapezoid,5,27150,8,0.4371300281456999,2002,0.0,highway,43,2,1,,Yes,
10456.2,Jan-1990,7774.7,flat,residential,Outskirts,rectangle,1,80261,2,0.3330376047844271,1981,0.0,highway,78,2,2,NA,No,NA
11340.2,Jan-2006,1702.9,open land,industrial,Center,rectangle,1,15576mts,4,0.04200273076746741,1993,0.0,street,69,1,5,F,NA,NA
4403.5,Feb-1984,9539.8,villa,residential,Border,rectangle,2,32684,3,0.4472995762328148,1971,1979.0,street,79,3,9,,Yes,Yes
10933.0,September-1988,8162.9,flat,residential,Outskirts,trapezoid,5,60520,9,0.6569346897539821,1985,0.0,highway,78,1,1,NA,No,
4094.4,August-2008,3379.7,villa,residential,Border,trapezoid,2,31686mts,7,0.0035354027834757495,2006,0.0,street,70,3,2,NA,Yes,Yes
3973.7,November-1988,7822.1,villa,residential,Center,irregular,2,3859,7,0.39212941549824576,1985,0.0,alley,34,2,7,NA,Yes, No
10695.5,November-1991,4025.7,duplex,commercial,Center,irregular,3,19461,8,0.7716630773824831,1981,1989.0,street,63,2,2,,Yes,NA
10341.8,August-1971,4349.3,duplex,residential,Border,rectangle,5,26486,4,0.7919425551151603,1960,1968.0,highway,98,2,5,NA,No,NA
10877.5,January-1993,2310.1,duplex,commercial,Border,trapezoid,5,22925mts,4,0.1629852092605638,1993,0.0,street,37,5,1,NA,Yes,NA
4304.0,August-2006,10503.9,villa,residential,Border,irregular,4,30582,5,0.6281044644861807,1997,0.0,highway,82,3,2,NA,Yes,Yes
10023.4,December-1983,7707.8,flat,commercial,Outskirts,irregular,5,73924,8,0.08557240673809463,1975,0.0,highway,40,3,2,,Yes,NA
10414.9,July-84,1077.5,flat,commercial,Center,irregular,3,20146,8,0.9383634492429974,1980,0.0,street,40,5,2,NA,Yes,NA
10250.3,January-1992,2092.4,duplex,residential,Border,rectangle,1,27450,6,0.7393673264695846,1974,1982.0,highway,12,2,10,,Yes,NA
10723.9,July-82,8169.8,flat,residential,Border,trapezoid,1,21105mts,6,0.5054311275119293,1966,1974.0,highway,32,3,8,NA,No,NA
11745.5,January-1983,9686.8,open land,industrial,Center,irregular,4,4418,10,0.3673892781347047,1979,,street,91,1,9,F,NA,NA
10750.4,May-1972,4936.6,duplex,commercial,Center,rectangle,3,11993,7,0.40380571540585597,1969,0.0,street,71,2,1,NA,Yes,
4829.1,October-1999,1377.8,villa,residential,Center,trapezoid,5,7568,10,0.7576300537301095,1998,0.0,street,82,4,6,,Yes,Yes
4710.8,March-1988,10798.3,villa,residential,Outskirts,trapezoid,3,66445mts,6,0.010680807600332631,1988,0.0,highway,15,3,10,NA,Yes,Yes
10806.7,Nov-2003,11111.1,flat,commercial,Outskirts,irregular,2,67623,6,0.6333170070450894,2003,0.0,highway,11,4,5,NA,Yes,NA
11035.3,Jul-2002,3419.5,duplex,residential,Center,rectangle,3,16145mts,1,0.6741588954687231,2000,0.0,alley,95,1,9,NA,No,NA
10116.0,August-1989,3332.1,duplex,commercial,Border,irregular,2,34230,5,0.5338327166930744,1989,0.0,street,58,5,10,NA,No,NA
3968.3,December-1985,11255.8,villa,residential,Outskirts,rectangle,2,74070,9,0.22279276288883798,1979,0.0,highway,52,1,3,NA,Yes, No
10746.4,December-1989,862.1,land,residential,Outskirts,irregular,2,55957,5,0.2782616804169481,1977,,highway,65,5,6,F,NA,NA
11081.5,Sep-1982,10004.1,duplex,commercial,Center,irregular,5,15401mts,2,0.7856351965006276,1968,1978.0,alley,92,1,4,NA,No,
10710.7,November-1980,8849.6,open land,commercial,Border,irregular,3,36389mts,4,0.05660927384967496,1967,0.0,street,83,1,2,C,NA,NA
12116.0,December-1994,9241.5,land,industrial,Border,trapezoid,4,22467mts,8,0.31937595904490756,1980,0.0,street,14,1,6,F,NA,NA
4154.4,October-89,9345.2,villa,residential,Outskirts,rectangle,2,54804mts,7,0.9977609709219536,1974,1985.0,highway,79,2,3,NA,Yes, No
10349.1,February-90,7257.4,duplex,commercial,Border,rectangle,4,28767,10,0.2726879320163992,1973,1982.0,highway,68,2,3,NA,Yes,NA
10155.7,May-81,4170.8,duplex,commercial,Border,rectangle,2,39452,1,0.19580999864034432,1971,1981.0,street,56,2,4,,No,NA
10076.0,August-1975,1417.8,duplex,commercial,Center,irregular,3,18280,1,0.0809584683291612,1962,1970.0,street,60,3,10,,No,NA
11284.1,October-2006,7928.9,open land,industrial,Outskirts,irregular,3,52328mts,4,0.5837673265010491,1994,0.0,highway,22,4,5,C,NA,
4014.3,Jun-2001,5530.1,villa,residential,Outskirts,rectangle,1,68641,7,0.6214538538049865,1994,0.0,highway,44,3,3,,Yes,Yes
11235.0,January-1982,7134.9,open land,industrial,Center,irregular,1,9862,8,0.13467757536427816,1973,,alley,34,2,4,F,NA,NA
10466.5,October-85,5865.0,flat,residential,Border,trapezoid,3,24081,7,0.31260239705483195,1971,1979.0,highway,28,2,4,NA,No,NA
2963.6,November-1977,2646.4,villa,residential,Outskirts,irregular,2,63982,4,0.3280824152825864,1964,1975.0,highway,9,1,4,NA,Yes,Yes
11441.4,November-1994,10913.0,flat,residential,Outskirts,trapezoid,2,55386,1,0.09990611794721072,1979,1987.0,highway,21,5,3,NA,No,NA
10522.4,December-1980,4577.7,duplex,residential,Outskirts,irregular,5,70642,3,0.4587309715409137,1961,1970.0,highway,28,5,4,,No,NA
4094.0,May-94,8372.1,villa,residential,Border,irregular,3,21860,4,0.8319523051796441,1990,0.0,street,52,3,1,NA,Yes, No
4517.0,February-1975,6447.4,villa,residential,Center,trapezoid,4,4636,8,0.6234862338565508,1972,0.0,alley,72,2,8,NA,Yes, No
12001.7,January-77,7700.2,duplex,residential,Center,trapezoid,5,10690,4,0.6293684521982343,1974,0.0,street,12,1,8,NA,Yes,NA
11818.2,May-1980,10810.1,duplex,residential,Border,trapezoid,3,29737mts,2,0.842191974758974,1980,0.0,street,19,2,7,,No,NA
3477.6,November-2007,1149.1,villa,residential,Border,rectangle,3,27955,10,0.9678038150201135,2004,0.0,highway,21,2,9,NA,Yes, No
11997.1,Aug-2000,6754.9,flat,commercial,Center,trapezoid,5,16731,7,0.9382821346624353,1998,0.0,street,58,5,1,NA,Yes,NA
4524.2,September-95,9167.6,villa,residential,Outskirts,rectangle,3,79333,1,0.9673893106237273,1991,0.0,highway,85,3,10,,Yes, No
9834.5,January-1984,6370.4,flat,commercial,Outskirts,irregular,1,72441mts,2,0.4982303722419623,1981,0.0,highway,89,4,8,NA,No,NA
12284.9,April-1993,7797.9,villa,residential,Center,rectangle,2,3663,8,0.31599724225212855,1984,0.0,alley,57,5,3,NA,Yes, No
11201.0,December-2002,1515.4,flat,commercial,Center,trapezoid,5,18937mts,7,0.9148073013948796,1983,1993.0,alley,54,5,7,,No,NA
10020.6,July-2008,1577.5,flat,commercial,Center,irregular,2,16291,2,0.38276675594267684,1990,2001.0,alley,37,2,6,NA,No,NA
11840.3,September-00,3390.1,land,industrial,Center,irregular,3,8542,5,0.7681419099023576,1991,0.0,street,28,4,9,F,NA,NA
10047.7,December-1981,5143.7,duplex,residential,Outskirts,irregular,5,72821,10,0.21859774873829807,1970,1979.0,highway,12,1,9,,No,NA
9764.8,March-1970,3839.0,duplex,residential,Border,irregular,5,39193mts,10,0.42497716408096076,1967,0.0,highway,61,1,7,NA,Yes,
3945.3,January-1996,4764.7,villa,residential,Outskirts,rectangle,2,56668,8,0.9323212106257904,1982,1992.0,highway,85,3,1,NA,Yes,Yes
11089.1,April-95,1069.7,villa,residential,Outskirts,irregular,3,58044mts,6,0.7711133711482928,1979,1987.0,highway,71,4,10,NA,Yes,Yes
10367.4,July-86,1275.5,land,residential,Border,irregular,2,36069mts,7,0.5616578384336788,1973,,highway,3,3,8,C,NA,NA
10451.4,May-96,1574.1,flat,residential,Center,irregular,5,4113mts,7,0.20596821389020314,1986,1994.0,street,49,3,8,,Yes,NA
12408.5,November-09,6201.3,land,residential,Center,rectangle,2,19470mts,4,0.6692102562639843,1998,,alley,51,2,8,F,NA,NA
4926.7,Sep-1974,5875.9,villa,residential,Center,trapezoid,1,21836,1,0.6298204902230322,1968,0.0,alley,42,5,3,,Yes,Yes
11309.2,November-2003,8951.8,open land,residential,Outskirts,irregular,1,55889,6,0.5560133374710462,2003,0.0,highway,5,2,1,C,NA,NA
5030.3,June-08,11133.9,villa,residential,Center,rectangle,4,3383,6,0.518500262420554,2001,0.0,alley,72,2,1,NA,Yes, No
3728.8,September-1978,2402.5,villa,residential,Outskirts,trapezoid,3,51506,7,0.4661200777318506,1969,0.0,highway,70,5,1,NA,Yes, No
20322.0,April-1982,9630.5,open land,residential,Center,irregular,5,25078mts,2,0.21038001430539843,1975,0.0,street,77,5,9,F,NA,
11659.2,June-1974,10389.0,duplex,residential,Center,rectangle,1,19290,4,0.8835198017291633,1968,0.0,street,89,2,10,,No,
11617.4,May-2005,11296.8,duplex,commercial,Outskirts,rectangle,5,59904,7,0.6964854234180746,2005,0.0,highway,17,4,6,,Yes,NA
10811.2,June-1989,1648.9,duplex,residential,Border,trapezoid,3,23326mts,2,0.5939438368674864,1984,0.0,street,64,3,2,,No,
4532.9,October-2000,7671.7,villa,residential,Border,trapezoid,4,23413,3,0.276757188498566,1981,1991.0,highway,5,4,5,NA,Yes, No
12560.6,March-01,9102.4,duplex,residential,Center,trapezoid,5,12564,7,0.9493216368375341,1984,1992.0,alley,29,5,4,,No,NA
9977.6,August-87,3278.5,duplex,commercial,Outskirts,rectangle,1,63229mts,5,0.11866828811752039,1977,1987.0,highway,86,4,2,NA,Yes,
11022.5,November-1998,3944.8,flat,commercial,Center,rectangle,5,19455,1,0.18128992481863693,1990,0.0,street,68,4,3,NA,Yes,NA
12141.9,May-1976,8781.5,open land,residential,Center,trapezoid,1,7384,4,0.12362407825509769,1961,,street,9,1,8,C,NA,NA
11273.8,October-1977,5516.4,flat,residential,Center,irregular,5,19914,8,0.9917916487346495,1977,0.0,street,12,5,9,,Yes,NA
10531.0,February-1977,5309.9,duplex,commercial,Outskirts,rectangle,1,79046mts,6,0.9990095927498682,1964,1973.0,highway,67,4,2,,Yes,NA
10661.2,July-2006,2924.8,land,industrial,Border,irregular,1,22840,6,0.3720892200026007,1992,,street,64,1,8,F,NA,NA
10386.5,November-79,8413.7,flat,commercial,Border,rectangle,5,21772,6,0.3104213855442519,1972,0.0,street,76,2,6,,No,NA
11667.5,June-1995,11997.7,duplex,residential,Border,rectangle,2,34392,9,0.9472414116333225,1982,1991.0,street,96,4,3,,No,NA
