Sale-Price,Purchase-Date,Purchase-Price,Type,Class,Location,Shape,U-Index,Proximity,N-Rank,P-Chance,Built,Renovate,Access,Crime-Rate,C-Rating,Gov-Index,Contour,Garage,Swimming
11065.0,July-2001,2038.3,open land,residential,Outskirts,rectangle,1,74897,10,0.6721765424131145,1998,0,highway,72,5,10,C,NA,NA
12165.9,December-1981,11105.6,open land,residential,Center,rectangle,3,10158,2,0.1264997325406625,1975,0,street,75,1,3,C,NA,NA
5019.9,December-1978,8557.4,villa,residential,Center,trapezoid,2,18708,4,0.2827067695036293,1965,1974,alley,92,5,7,NA,Yes,Yes
11022.5,September-1999,11891.6,duplex,commercial,Border,irregular,3,25446,1,0.7436748633084317,1982,1991,highway,98,4,10,NA,Yes,NA
3988.1,November-1972,8875.5,villa,residential,Outskirts,rectangle,5,54682,8,0.8005795263829504,1954,1965,highway,89,2,1,NA,Yes, No
11108.6,November-1994,4255.2,duplex,residential,Border,trapezoid,3,28820,8,0.8608425990052287,1991,0,street,47,2,6,NA,No,NA
10772.8,July-1993,8344.3,open land,industrial,Border,irregular,1,24470,10,0.3991415689822174,1988,0,street,70,2,10,C,NA,NA
10131.1,October-1982,7423.2,flat,commercial,Border,rectangle,3,28914,6,0.30708908008757974,1976,0,highway,20,3,1,NA,No,NA
12448.0,April-1990,7635.1,villa,residential,Outskirts,trapezoid,1,72320,3,0.7465334836062791,1972,1983,highway,40,4,2,NA,Yes,Yes
11781.8,August-2003,11747.0,duplex,commercial,Center,rectangle,1,12425,6,0.4165797457889988,1984,1994,alley,37,4,7,NA,Yes,NA
11258.1,March-2002,5170.6,duplex,residential,Outskirts,trapezoid,5,61779,5,0.7493321617227027,1999,0,highway,62,2,2,NA,No,NA
12764.6,November-1999,5935.7,open land,residential,Center,trapezoid,4,8583,10,0.15203770846884912,1989,0,street,22,4,9,F,NA,NA
4631.9,July-2003,3316.0,villa,residential,Center,rectangle,3,17590,1,0.5881562987842199,2003,0,street,95,3,10,NA,Yes,Yes
4346.3,November-1977,7394.6,villa,residential,Center,irregular,1,10140,7,0.8879368334285604,1966,1975,street,19,2,4,NA,Yes,Yes
4524.3,May-1983,4983.7,villa,residential,Center,rectangle,2,24115,2,0.6856979110525284,1982,0,alley,72,4,8,NA,Yes,Yes
12013.5,February-1979,9941.0,open land,commercial,Center,rectangle,5,15405,10,0.20108610147854633,1966,0,street,43,3,7,C,NA,NA
10925.2,August-1991,3828.3,open land,residential,Outskirts,rectangle,2,72068,6,0.47233729444305883,1980,0,highway,28,1,4,C,NA,NA
12732.5,June-1978,10249.4,open land,industrial,Center,trapezoid,2,24273,9,0.4425113498209986,1975,0,street,64,4,3,F,NA,NA
4467.2,June-1991,7645.0,villa,residential,Border,trapezoid,3,26396,2,0.3695818367437691,1979,1989,highway,36,3,10,NA,Yes,Yes
4188.0,December-2008,9877.4,villa,residential,Border,rectangle,2,39245,9,0.8875631410968396,1996,2007,highway,85,1,10,NA,Yes, No
11692.9,May-2000,10611.8,flat,residential,Center,trapezoid,2,22529,10,0.11148234855599037,1994,0,alley,84,3,7,NA,Yes,NA
11733.5,February-1991,8964.6,open land,industrial,Border,trapezoid,2,20154,7,0.43407337429756787,1980,0,highway,10,5,9,C,NA,NA
3838.1,March-1977,2593.0,villa,residential,Center,irregular,1,7552,5,0.455437025636124,1962,1971,street,23,4,5,NA,Yes,Yes
10660.6,July-1984,5386.5,flat,residential,Center,irregular,5,12508,4,0.00835365586404635,1981,0,street,39,3,2,NA,No,NA
11151.2,June-1985,10226.9,flat,residential,Border,trapezoid,4,25424,9,0.11886752390626143,1969,1979,street,72,3,6,NA,No,NA
10069.8,September-2005,2883.9,duplex,commercial,Outskirts,rectangle,3,65767,2,0.07261871423326605,1991,2002,highway,75,1,5,NA,Yes,NA
11822.8,April-1985,6946.7,villa,residential,Outskirts,rectangle,5,76684,10,0.6056826871687022,1978,0,highway,73,4,7,NA,Yes, No
10628.0,August-1987,5658.3,duplex,commercial,Border,rectangle,2,39696,3,0.33484665923493795,1979,0,street,76,5,5,NA,No,NA
10767.4,August-1970,8088.5,flat,commercial,Center,rectangle,1,8547,4,0.06105087653250929,1951,1962,street,12,3,8,NA,Yes,NA
4544.6,December-1993,11330.7,villa,residential,Outskirts,rectangle,3,65295,6,0.7899145917149321,1982,1991,highway,69,3,6,NA,Yes, No
11023.6,May-1974,3226.1,open land,residential,Border,trapezoid,1,33044,7,0.24288941379844153,1956,0,highway,93,2,1,F,NA,NA
10484.0,August-1989,6611.0,flat,commercial,Outskirts,rectangle,2,69530,2,0.7715872120910493,1976,1986,highway,10,3,4,NA,No,NA
10582.6,October-1973,2452.8,open land,residential,Outskirts,rectangle,2,79161,4,0.10651691189435264,1954,0,highway,20,2,5,C,NA,NA
10513.6,March-1971,7262.5,duplex,residential,Outskirts,rectangle,2,69232,4,0.0847194243055851,1957,1966,highway,73,4,10,NA,No,NA
10742.1,August-1973,5888.3,duplex,commercial,Center,irregular,3,10156,8,0.34103126766572867,1967,0,street,12,5,6,NA,No,NA
10308.2,March-1982,4087.5,flat,residential,Outskirts,trapezoid,1,64215,10,0.6795040240069471,1972,1980,highway,99,2,10,NA,Yes,NA
5556.7,February-1970,11932.6,villa,residential,Center,trapezoid,2,5911,1,0.7984497385811222,1963,0,alley,78,5,5,NA,Yes,Yes
10051.9,February-1970,1295.0,flat,commercial,Border,trapezoid,2,39609,5,0.4435843947290241,1960,1971,street,34,3,7,NA,Yes,NA
4340.2,September-2006,1675.5,villa,residential,Center,trapezoid,3,3571,2,0.0622703721944563,1993,2004,street,62,2,2,NA,Yes, No
11533.5,December-2005,10518.0,flat,residential,Border,trapezoid,3,20368,6,0.65425865525415,1999,0,street,17,1,1,NA,No,NA
9253.2,October-1991,1659.5,flat,commercial,Border,irregular,1,28483,5,0.8279061350156716,1973,1982,highway,92,2,1,NA,Yes,NA
11124.3,November-1995,2551.0,flat,commercial,Center,trapezoid,3,12664,1,0.6112261761937114,1980,1990,street,72,4,2,NA,No,NA
11431.5,July-2007,11423.4,duplex,commercial,Outskirts,trapezoid,3,55829,7,0.14130061660168736,2003,0,highway,24,2,8,NA,Yes,NA
10885.8,August-1970,1009.6,open land,commercial,Border,trapezoid,2,32969,2,0.7612645136390608,1964,0,highway,32,5,6,C,NA,NA
11311.8,June-1985,11303.9,duplex,commercial,Outskirts,rectangle,4,74536,8,0.8832788796350329,1976,0,highway,92,5,2,NA,No,NA
4403.4,December-1982,9116.2,villa,residential,Outskirts,trapezoid,2,52016,5,0.5594511220815406,1977,0,highway,33,1,7,NA,Yes,Yes
11458.8,August-2009,8239.8,flat,commercial,Border,trapezoid,3,33994,8,0.7649437944412735,2009,0,street,25,5,8,NA,No,NA
11772.1,February-1998,7283.1,open land,residential,Border,rectangle,1,35775,4,0.39747517378006936,1979,0,street,93,2,7,F,NA,NA
18405.6,April-2002,10597.1,flat,commercial,Outskirts,irregular,3,72068,8,0.8094435199709092,1993,0,highway,27,2,2,NA,Yes,NA
12265.5,February-1985,5191.7,open land,residential,Center,rectangle,4,13958,10,0.8257331017701607,1978,0,alley,54,4,3,F,NA,NA
4232.8,December-1994,7895.0,villa,residential,Outskirts,irregular,4,72872,7,0.9175207664032342,1986,0,highway,15,3,3,NA,Yes,Yes
17957.4,April-1970,9539.2,flat,residential,Outskirts,irregular,4,70343,4,0.30841000174422073,1957,1968,highway,69,1,2,NA,Yes,NA
11935.9,September-1982,9048.9,flat,residential,Center,trapezoid,4,12220,2,0.9373012263119238,1979,0,alley,31,3,2,NA,No,NA
11125.2,March-2003,11224.0,flat,residential,Border,irregular,5,38650,8,0.8113759693820026,2002,0,highway,62,5,5,NA,No,NA
17870.3,April-1973,8848.0,flat,commercial,Outskirts,rectangle,5,50852,7,0.0052694661329039105,1959,1967,highway,37,1,2,NA,Yes,NA
3132.8,November-1988,1850.3,villa,residential,Outskirts,irregular,4,71523,7,0.157351769542451,1981,0,highway,94,4,9,NA,Yes,Yes
10620.9,February-1996,2873.3,open land,industrial,Border,irregular,4,31201,10,0.843781248770374,1981,0,street,72,2,8,C,NA,NA
10870.2,December-1999,6084.1,flat,residential,Border,rectangle,5,32381,2,0.0833022123963243,1984,1993,street,36,3,10,NA,Yes,NA
9988.4,October-2009,1132.8,duplex,residential,Outskirts,irregular,1,58007,9,0.6023845195958143,1991,2001,highway,4,3,6,NA,No,NA
10990.7,March-2005,2366.3,duplex,residential,Center,irregular,4,10463,10,0.7433974894015797,1994,2005,alley,19,5,7,NA,No,NA
4666.3,December-1985,11792.4,villa,residential,Center,irregular,2,19297,2,0.5551104404532946,1973,1981,street,86,2,5,NA,Yes, No
3361.7,July-1986,1139.5,villa,residential,Border,rectangle,4,34040,6,0.07132515404924622,1978,0,highway,72,5,2,NA,Yes,Yes
11836.2,April-1973,3093.4,villa,residential,Border,trapezoid,4,29135,6,0.9932684561865718,1961,1971,highway,11,3,2,NA,Yes,Yes
3892.3,October-1992,5375.7,villa,residential,Border,irregular,5,33155,1,0.5515450427761498,1991,0,street,29,3,6,NA,Yes, No
3267.6,January-1977,1163.4,villa,residential,Center,irregular,2,3813,7,0.5015907726518049,1977,0,street,84,2,6,NA,Yes, No
11768.5,January-1977,7269.8,duplex,commercial,Center,trapezoid,3,22639,4,0.7535109723219919,1963,1971,street,49,3,5,NA,Yes,NA
4189.2,November-1983,5435.0,villa,residential,Outskirts,trapezoid,2,80262,1,0.5892942440310623,1981,0,highway,89,2,6,NA,Yes,Yes
9692.0,July-1987,1762.4,flat,residential,Outskirts,irregular,1,78272,6,0.8645352506162626,1986,0,highway,12,1,9,NA,Yes,NA
11310.8,June-1993,10678.0,duplex,residential,Border,irregular,5,21393,1,0.5271140614296788,1989,0,street,30,3,5,NA,No,NA
10500.4,August-1997,3602.0,flat,residential,Center,irregular,2,2175,2,0.5588739539317025,1986,1997,street,81,2,1,NA,No,NA
10356.3,May-1980,6789.5,duplex,commercial,Border,irregular,5,38681,3,0.2611199492442384,1980,0,street,52,3,4,NA,No,NA
10610.4,July-1973,5759.0,open land,commercial,Outskirts,irregular,4,76971,10,0.4933548678754256,1954,0,highway,61,4,7,C,NA,NA
10948.7,January-1976,7693.7,duplex,commercial,Center,irregular,4,15932,2,0.5769751904496395,1968,0,street,48,2,1,NA,No,NA
10907.9,December-1987,6029.9,duplex,commercial,Center,rectangle,3,7682,2,0.13445875809724217,1983,0,alley,74,4,6,NA,No,NA
11164.9,June-2004,9849.3,open land,industrial,Border,irregular,2,27017,7,0.8111716110621932,2003,0,highway,36,2,8,C,NA,NA
10615.2,November-1991,4778.6,duplex,residential,Outskirts,irregular,5,60307,6,0.5847655537214064,1989,0,highway,85,5,5,NA,Yes,NA
11107.5,January-1974,9697.7,flat,residential,Border,trapezoid,1,32986,1,0.09664519872010191,1966,0,street,79,4,2,NA,Yes,NA
3658.0,October-1983,4645.7,villa,residential,Outskirts,rectangle,2,77066,8,0.8438808360763926,1972,1982,highway,78,3,9,NA,Yes, No
10420.9,November-1971,4209.0,duplex,residential,Border,trapezoid,1,26201,5,0.1827646798473216,1953,1962,highway,30,3,9,NA,Yes,NA
18355.6,April-1989,4033.8,flat,commercial,Outskirts,trapezoid,3,72931,2,0.7279861476584382,1973,1982,highway,60,3,2,NA,Yes,NA
9735.9,November-1989,2635.8,duplex,residential,Border,irregular,1,39230,1,0.191451481843129,1989,0,highway,66,3,3,NA,No,NA
11456.4,June-1988,8403.3,duplex,commercial,Border,trapezoid,5,37618,8,0.618208888102749,1973,1981,street,47,3,8,NA,Yes,NA
11359.3,November-1975,3040.0,open land,residential,Border,trapezoid,2,32989,2,0.3383180413699034,1962,0,street,60,4,6,C,NA,NA
10567.4,August-2000,4578.0,duplex,residential,Border,rectangle,3,23367,8,0.05528839640315619,1998,0,street,58,2,1,NA,Yes,NA
11712.6,August-1978,7523.0,open land,commercial,Center,irregular,4,23754,5,0.307439559731563,1972,0,alley,21,3,3,F,NA,NA
11267.8,September-1970,9235.2,open land,residential,Border,irregular,3,25679,3,0.2532437512717133,1959,0,street,10,3,7,C,NA,NA
11107.1,December-1974,6477.6,duplex,commercial,Border,trapezoid,5,34018,7,0.5736247348391369,1971,0,street,33,4,8,NA,No,NA
19974.4,April-2000,11555.4,open land,residential,Center,irregular,3,24781,4,0.2573247877310555,1984,0,alley,29,3,9,C,NA,NA
10174.3,July-1981,6641.1,duplex,commercial,Border,irregular,5,35829,4,0.06568951696828074,1971,1982,street,89,3,5,NA,No,NA
11170.3,December-1986,5136.8,open land,commercial,Border,rectangle,3,27045,7,0.7215211425612086,1985,0,highway,38,2,2,F,NA,NA
11881.9,February-1974,10450.1,open land,residential,Border,trapezoid,2,23275,8,0.4820817028371339,1974,0,street,64,2,7,C,NA,NA
11243.3,February-1996,4587.7,open land,commercial,Center,irregular,5,18794,5,0.6059392465804798,1996,0,alley,28,1,5,C,NA,NA
11019.6,July-1988,11344.6,duplex,commercial,Outskirts,trapezoid,3,64769,10,0.27348738554344465,1971,1982,highway,53,1,2,NA,No,NA
9686.2,December-1984,4556.5,flat,commercial,Outskirts,irregular,1,73021,3,0.3805600583448374,1971,1980,highway,23,4,8,NA,No,NA
10949.0,August-1981,9359.3,duplex,commercial,Outskirts,rectangle,4,79799,2,0.7407024667391312,1974,0,highway,47,1,1,NA,Yes,NA
4819.1,October-1993,4297.3,villa,residential,Center,trapezoid,2,11791,4,0.16184527761044687,1986,0,street,95,5,7,NA,Yes,Yes
12783.8,April-1983,6929.2,villa,residential,Center,trapezoid,1,11106,6,0.9021468413817213,1981,0,alley,94,5,7,NA,Yes,Yes
10864.2,January-1992,10618.4,flat,residential,Outskirts,irregular,5,71846,7,0.41911045967662486,1974,1985,highway,32,3,1,NA,Yes,NA
4394.2,May-2008,2170.0,villa,residential,Center,trapezoid,2,7944,6,0.03253121560543293,1991,1999,street,93,2,7,NA,Yes,Yes
11434.1,August-1975,11262.3,open land,industrial,Outskirts,trapezoid,1,67199,4,0.34244467485517815,1969,0,highway,87,1,10,C,NA,NA
10630.6,December-1978,6968.4,duplex,residential,Outskirts,irregular,2,79591,5,0.9450263772493349,1963,1973,highway,6,2,10,NA,Yes,NA
10858.4,August-1986,6321.7,open land,commercial,Border,irregular,5,36639,6,0.5193590580993686,1969,0,street,47,1,9,C,NA,NA
11456.6,December-1991,5709.3,duplex,commercial,Center,trapezoid,5,11643,9,0.08880554151746978,1990,0,alley,5,5,5,NA,No,NA
3865.6,June-1998,2062.7,villa,residential,Border,trapezoid,2,26313,10,0.2824893944852821,1981,1990,street,33,4,1,NA,Yes, No
4413.5,November-1995,6051.0,villa,residential,Center,irregular,4,14667,3,0.47040822664026993,1995,0,street,72,2,5,NA,Yes,Yes
11805.5,February-1975,10721.3,open land,commercial,Outskirts,trapezoid,4,71109,6,0.17376924375654001,1961,0,highway,93,5,2,C,NA,NA
10939.3,February-2002,3285.9,duplex,residential,Center,irregular,4,20895,5,0.16292906678378105,1993,0,alley,67,5,9,NA,Yes,NA
3919.8,March-2008,3480.4,villa,residential,Border,rectangle,4,36070,4,0.6431558365648217,1996,2004,highway,5,3,10,NA,Yes, No
11853.6,June-2005,10061.1,duplex,commercial,Center,rectangle,4,7045,5,0.9912756175554983,1993,2002,alley,10,2,4,NA,No,NA
10819.5,December-1994,5650.5,duplex,residential,Outskirts,trapezoid,1,67972,2,0.010830705294683662,1991,0,highway,56,2,10,NA,Yes,NA
11381.1,September-1992,1481.7,open land,industrial,Center,trapezoid,3,25042,10,0.5746261449600352,1978,0,alley,2,1,8,C,NA,NA
10795.2,November-1974,4806.9,flat,residential,Border,trapezoid,4,25173,3,0.4764344709560697,1972,0,street,75,4,5,NA,No,NA
11167.4,May-2006,3376.2,open land,commercial,Center,irregular,2,17856,5,0.371698540694103,2003,0,alley,87,1,1,F,NA,NA
10180.4,May-1976,4571.9,open land,industrial,Outskirts,irregular,4,64862,10,0.2071003761153012,1962,0,highway,61,2,9,C,NA,NA
9737.6,June-1990,4002.9,duplex,commercial,Outskirts,irregular,4,65369,9,0.5092592231852616,1983,0,highway,60,1,6,NA,No,NA
4755.7,July-1996,10484.0,villa,residential,Center,rectangle,2,8927,10,0.33567676842933303,1996,0,alley,10,1,3,NA,Yes,Yes
5631.8,June-2000,10987.3,villa,residential,Center,trapezoid,4,12737,7,0.5567178138041711,1997,0,street,29,1,4,NA,Yes,Yes
10452.2,December-1979,4663.3,flat,commercial,Center,trapezoid,1,18925,10,0.19245782465447414,1976,0,alley,74,2,3,NA,Yes,NA
