Sale-Price,Purchase-Date,Purchase-Price,Type,Class,Location,Shape,U-Index,Proximity,N-Rank,P-Chance,Built,Renovate,Access,Crime-Rate,C-Rating,Gov-Index,Contour,Garage,Swimming
10722.9,March-2001,9884.1,duplex,commercial,Border,rectangle,4,32886,8,0.3178935377009786,2001,0,highway,77,1,8,NA,Yes,NA
11494.5,September-1971,1418.6,open land,commercial,Center,irregular,5,14034,9,0.9925846022263312,1969,0,street,17,4,2,F,NA,NA
11418.5,September-2008,6854.9,open land,industrial,Outskirts,rectangle,4,63431,2,0.03207742771663502,1994,0,highway,82,1,5,F,NA,NA
11298.3,May-2005,5475.0,duplex,residential,Outskirts,trapezoid,4,56179,7,0.7531592700484715,1988,1996,highway,8,1,8,NA,Yes,NA
4282.1,June-1987,6368.7,villa,residential,Outskirts,trapezoid,5,65236,7,0.5845738898809453,1972,1981,highway,85,3,2,NA,Yes, No
11889.1,June-2002,8650.0,open land,industrial,Outskirts,trapezoid,1,67879,1,0.1571283468334842,1990,0,highway,71,2,7,F,NA,NA
10584.0,January-1971,5472.7,duplex,residential,Border,rectangle,3,36597,4,0.10657438139131314,1968,0,street,51,4,3,NA,No,NA
19658.6,April-1989,10496.2,open land,commercial,Outskirts,rectangle,2,60908,7,0.5200664056128224,1972,0,highway,89,5,3,F,NA,NA
12049.4,May-2004,10183.8,duplex,commercial,Center,trapezoid,5,8292,3,0.4149736162803227,1994,2003,alley,65,3,2,NA,No,NA
11755.3,October-2006,4725.5,open land,industrial,Border,trapezoid,3,35716,7,0.792176332606041,2000,0,street,35,3,2,C,NA,NA
11532.8,May-1970,7062.5,open land,commercial,Center,irregular,3,21856,8,0.32602681230492747,1957,0,alley,75,5,3,F,NA,NA
11162.1,May-1986,4352.8,duplex,residential,Border,trapezoid,5,38751,2,0.6445817457382453,1969,1980,highway,77,5,10,NA,No,NA
11041.5,October-1984,5639.9,duplex,residential,Border,rectangle,4,27332,2,0.9733501259409523,1975,0,highway,38,5,5,NA,No,NA
11756.0,August-1973,7612.6,open land,residential,Center,irregular,2,14811,3,0.5914398930808107,1969,0,street,70,4,2,C,NA,NA
12286.0,October-1982,7186.6,open land,residential,Center,irregular,2,11037,6,0.91722309282457,1965,0,street,84,5,6,F,NA,NA
11603.0,August-2006,9636.7,duplex,commercial,Border,trapezoid,1,36755,2,0.8316576548440185,1998,0,highway,23,4,8,NA,Yes,NA
4902.9,January-1972,7082.9,villa,residential,Center,trapezoid,3,3399,8,0.6742100861361605,1964,0,street,91,3,6,NA,Yes,Yes
11223.7,June-1988,8274.1,flat,commercial,Center,rectangle,3,3926,4,0.9057326564202078,1976,1986,alley,51,3,2,NA,Yes,NA
3945.4,March-1994,6434.2,villa,residential,Border,irregular,4,36491,9,0.4792268787559778,1986,0,street,39,3,4,NA,Yes,Yes
11294.2,October-2000,3912.3,open land,industrial,Border,rectangle,1,37336,3,0.2791890721331558,1983,0,street,8,2,10,F,NA,NA
10856.0,November-1984,10363.9,flat,residential,Border,irregular,5,35200,7,0.8905455555766297,1970,1979,highway,67,5,2,NA,No,NA
10242.0,June-1981,990.0,flat,residential,Outskirts,rectangle,4,57004,2,0.6401257111884774,1972,0,highway,16,4,4,NA,Yes,NA
10747.9,February-1991,4632.7,flat,commercial,Center,irregular,5,8271,7,0.8564258309667927,1983,0,alley,7,5,9,NA,No,NA
3622.7,September-1973,1399.8,villa,residential,Outskirts,rectangle,5,73959,7,0.6217935563457996,1961,1972,highway,44,4,6,NA,Yes,Yes
11059.9,January-1984,11976.6,duplex,commercial,Center,irregular,1,24670,1,0.28381805419493544,1976,0,street,94,1,6,NA,No,NA
11920.0,May-1990,4988.2,open land,residential,Border,trapezoid,3,22227,2,0.24089917313222975,1973,0,highway,45,5,4,F,NA,NA
10997.5,June-2005,9984.9,flat,residential,Border,irregular,4,20354,6,0.6167467477512385,1989,2000,street,23,2,7,NA,Yes,NA
3801.7,November-1977,4519.9,villa,residential,Border,trapezoid,4,30788,2,0.06550070725413215,1962,1971,street,57,1,1,NA,Yes, No
10775.8,November-1996,807.8,flat,residential,Center,rectangle,5,16048,5,0.5567822150623258,1994,0,street,95,3,4,NA,No,NA
11086.5,June-1997,3018.4,duplex,commercial,Center,irregular,4,8590,1,0.8223188286928942,1988,0,street,19,5,6,NA,No,NA
10039.9,June-1978,3711.4,flat,commercial,Outskirts,trapezoid,4,54550,2,0.15964539647540965,1978,0,highway,59,1,3,NA,Yes,NA
3678.2,March-1974,5258.3,villa,residential,Center,irregular,5,10904,5,0.36374322239832335,1964,1972,alley,96,2,5,NA,Yes, No
10513.9,January-1978,9760.9,flat,residential,Outskirts,irregular,2,51642,3,0.8215880673789087,1968,1977,highway,36,3,4,NA,No,NA
10245.0,November-2005,3511.5,duplex,commercial,Outskirts,irregular,2,56437,1,0.46724886211060523,1990,1999,highway,67,5,4,NA,Yes,NA
4401.8,July-1975,1840.8,villa,residential,Center,trapezoid,2,24852,3,0.5846079415155611,1956,1967,street,11,3,2,NA,Yes, No
11007.7,August-1984,1238.5,open land,residential,Border,rectangle,1,24901,2,0.4623023492420293,1969,0,street,87,2,7,F,NA,NA
10056.8,December-1970,2142.2,flat,commercial,Outskirts,trapezoid,2,68873,9,0.5950932402868604,1959,1968,highway,83,5,4,NA,Yes,NA
11498.9,June-1998,8175.8,flat,residential,Border,trapezoid,4,31455,7,0.7609598218625467,1983,1994,street,20,3,4,NA,No,NA
18840.7,April-1971,5474.5,duplex,commercial,Center,trapezoid,4,5117,2,0.017733437476625702,1970,0,street,83,3,7,NA,No,NA
11125.5,July-1998,9153.2,duplex,commercial,Outskirts,trapezoid,1,56197,2,0.091860169627207,1995,0,highway,21,4,6,NA,No,NA
10692.4,June-1977,8401.0,duplex,residential,Outskirts,rectangle,3,52533,1,0.05553464950326681,1969,0,highway,11,2,1,NA,No,NA
11032.4,May-1990,5235.2,open land,industrial,Border,rectangle,5,37138,5,0.7535144192988249,1990,0,highway,74,2,4,C,NA,NA
3867.4,June-1971,5860.8,villa,residential,Outskirts,rectangle,3,50354,6,0.6974917330619081,1970,0,highway,28,5,1,NA,Yes, No
10443.3,October-2006,5308.3,duplex,residential,Outskirts,irregular,2,69290,6,0.45555735087600324,2006,0,highway,37,3,5,NA,No,NA
10901.1,December-1977,8034.8,open land,commercial,Border,rectangle,3,23967,5,0.6541002728371791,1969,0,highway,67,1,9,C,NA,NA
9611.0,August-1988,2014.1,flat,commercial,Border,rectangle,5,32079,10,0.029977892993083732,1981,0,street,89,2,7,NA,No,NA
11482.9,February-2005,968.6,open land,commercial,Center,irregular,4,23694,3,0.8684339712257539,1992,0,alley,30,2,2,F,NA,NA
11980.3,January-1989,11860.3,flat,commercial,Center,trapezoid,4,3908,6,0.3044244456200387,1978,1988,street,57,5,3,NA,No,NA
10763.1,December-1992,6918.7,duplex,residential,Outskirts,irregular,5,64924,2,0.6230384609730814,1977,1987,highway,3,2,1,NA,No,NA
10371.4,March-1987,3578.6,flat,commercial,Border,trapezoid,1,40098,7,0.8502057362636801,1982,0,street,43,2,8,NA,No,NA
17792.3,April-1974,6432.3,flat,commercial,Border,irregular,4,37262,2,0.10278404479357994,1970,0,street,54,4,2,NA,Yes,NA
10494.6,September-2008,6316.4,flat,commercial,Center,irregular,3,17781,4,0.010448854586401546,2006,0,street,33,1,5,NA,No,NA
10326.1,February-1993,1654.3,duplex,commercial,Outskirts,rectangle,4,79584,6,0.49014343192576537,1980,1990,highway,96,5,9,NA,Yes,NA
9963.5,March-1986,3949.1,duplex,commercial,Outskirts,rectangle,2,77921,3,0.1621027740801534,1985,0,highway,29,1,5,NA,No,NA
4084.2,January-1984,8701.3,villa,residential,Outskirts,rectangle,4,50584,10,0.5693515896814313,1978,0,highway,74,4,4,NA,Yes, No
3629.3,August-1994,3667.6,villa,residential,Outskirts,irregular,2,71999,2,0.7340128596546761,1992,0,highway,34,3,8,NA,Yes,Yes
9864.4,August-1988,3095.1,duplex,commercial,Border,irregular,3,32309,1,0.46058017923686234,1978,1986,highway,43,3,10,NA,Yes,NA
3246.3,November-1985,4342.9,villa,residential,Border,irregular,5,28140,8,0.3956170987935489,1976,0,highway,68,4,3,NA,Yes, No
18766.5,April-1993,1824.1,open land,commercial,Border,trapezoid,5,32086,6,0.1689875946526047,1990,0,highway,22,4,7,C,NA,NA
10605.0,August-2000,10616.5,flat,commercial,Outskirts,irregular,4,50336,3,0.4400119139690596,1988,1996,highway,5,2,2,NA,Yes,NA
11085.9,October-1996,10499.0,flat,residential,Outskirts,rectangle,5,65170,9,0.7629156083865373,1994,0,highway,72,2,2,NA,No,NA
5376.4,June-2005,5840.4,villa,residential,Center,trapezoid,5,2282,3,0.9370410693387801,2004,0,street,94,2,1,NA,Yes,Yes
4496.7,November-1971,10610.7,villa,residential,Border,trapezoid,5,27944,7,0.16421551442136118,1959,1969,highway,47,5,4,NA,Yes, No
12500.2,April-1979,9610.3,villa,residential,Outskirts,trapezoid,2,61973,1,0.8839751523754413,1960,1971,highway,37,2,6,NA,Yes,Yes
